4.08591 8.01906
1.71433 -1.03008
0 -0
3.65418 -1.62695
-3.78207 -1.30227
7.21665 -8.30181
2.95833 6.34415
-3.12585 7.36404
-2.44042 -5.48127
4.41474 -2.34736
0.292372 -0.956305
-0 -0
-0 -0
-0.978148 -0.207912
0 -0
2.92311 -0.674853
-8.09017 5.87785
1.21554 6.89365
3.93923 -0.694593
1.43868 1.38932
0.777146 -0.62932
1.61803 1.17557
0 -0
-4.60252 1.95366
-0.358368 0.93358
-8.09017 5.87785
-0.174311 -1.99239
7.79423 4.5
-2.69638 -1.31511
-9.11941 -6.15112
-3.75877 1.36808
-0.766044 0.642788
3.39219 2.11968
0 -0
5.24772 2.90886
-10.6252 2.84701
0.191976 10.9983
2.26413 -1.96818
-3.5967 -3.47329
-0 -0
-5.75472 -5.55727
0.707107 0.707107
-9.11941 6.15112
2.48074 8.65136
3.98478 0.348623
-8.17459 7.36044
-2.95442 -0.520945
-1.84101 0.781462
0.71934 -0.694658
-2.27898 -6.61863
